year,change
1880,202.22125
1881,203.52698
1882,204.86963
1883,206.2503
1884,207.66998
1885,209.12991
1886,210.6311
1887,212.17477
1888,213.76215
1889,215.39444
1890,217.07288
1891,218.79883
1892,220.57364
1893,222.39868
1894,224.27533
1895,226.20511
1896,228.18945
1897,230.22998
1898,232.32825
1899,234.48587
1900,236.70453
1901,238.98602
1902,241.33203
1903,243.74445
1904,246.22513
1905,248.77594
1906,251.39899
1907,254.09622
1908,256.8698
1909,259.7219
1910,262.65466
1911,265.6704
1912,268.7715
1913,271.96033
1914,275.23938
1915,278.61124
1916,282.0785
1917,285.64386
1918,289.31012
1919,293.0801
1920,296.95682
1921,300.94315
1922,305.04236
1923,309.25754
1924,313.59192
1925,318.04898
1926,322.6322
1927,327.3451
1928,332.19135
1929,337.1747
1930,342.2991
1931,347.56845
1932,352.98697
1933,358.55875
1934,364.2882
1935,370.17978
1936,376.2381
1937,382.46783
1938,388.87384
1939,395.46112
1940,402.2348
1941,409.20013
1942,416.36255
1943,423.72763
1944,431.30115
1945,439.08893
1946,447.0971
1947,455.33185
1948,463.79965
1949,472.50702
1950,481.46082
1951,490.6679
1952,500.1356
1953,509.87115
1954,519.88214
1955,530.17645
1956,540.762
1957,551.6472
1958,562.84033
1959,574.35016
1960,586.18567
1961,598.35614
1962,610.871
1963,623.7399
1964,636.97296
1965,650.5805
1966,664.57306
1967,678.96155
1968,693.7572
1969,708.97144
1970,724.61633
1971,740.7038
1972,757.2465
1973,774.2573
1974,791.7495
1975,809.73663
1976,828.23267
1977,847.2522
1978,866.80975
1979,886.9208
1980,907.6008
1981,928.8661
1982,950.73315
1983,973.2189
1984,996.3408
1985,1020.11707
1986,1044.5662
1987,1069.707
1988,1095.5592
1989,1122.143
1990,1149.479
1991,1177.5885
1992,1206.4932
1993,1236.2161
1994,1266.78
1995,1298.2085
1996,1330.5264
1997,1363.759
1998,1397.9318
1999,1433.0713
2000,1469.2056
2001,1506.3622
2002,1544.5701
2003,1583.8589
2004,1624.2598
2005,1665.8036
2006,1708.5232
2007,1752.4517
2008,1797.6227
2009,1844.0723
2010,1891.8362
2011,1940.9513
