year,temperature
1880,286.98233
1881,286.97708
1882,286.97202
1883,286.96713
1884,286.96243
1885,286.9579
1886,286.95352
1887,286.94937
1888,286.94537
1889,286.94156
1890,286.93793
1891,286.93445
1892,286.93118
1893,286.92807
1894,286.92514
1895,286.9224
1896,286.91983
1897,286.91745
1898,286.91525
1899,286.9132
1900,286.91138
1901,286.9097
1902,286.9082
1903,286.9069
1904,286.90576
1905,286.9048
1906,286.90402
1907,286.9034
1908,286.903
1909,286.90277
1910,286.9027
1911,286.9028
1912,286.9031
1913,286.90356
1914,286.90424
1915,286.90506
1916,286.90607
1917,286.90726
1918,286.90863
1919,286.91016
1920,286.9119
1921,286.9138
1922,286.91586
1923,286.91815
1924,286.92056
1925,286.9232
1926,286.926
1927,286.92896
1928,286.93213
1929,286.93546
1930,286.93896
1931,286.94266
1932,286.94653
1933,286.95056
1934,286.9548
1935,286.9592
1936,286.96378
1937,286.96854
1938,286.97348
1939,286.9786
1940,286.98392
1941,286.98938
1942,286.99503
1943,287.0009
1944,287.0069
1945,287.0131
1946,287.01944
1947,287.026
1948,287.0327
1949,287.03964
1950,287.04672
1951,287.054
1952,287.06143
1953,287.06903
1954,287.07684
1955,287.08484
1956,287.093
1957,287.10132
1958,287.10983
1959,287.11853
1960,287.1274
1961,287.13644
1962,287.1457
1963,287.1551
1964,287.16467
1965,287.17444
1966,287.1844
1967,287.19452
1968,287.2048
1969,287.2153
1970,287.22595
1971,287.2368
1972,287.2478
1973,287.259
1974,287.2704
1975,287.28195
1976,287.29367
1977,287.30557
1978,287.31766
1979,287.32993
1980,287.34238
1981,287.355
1982,287.36783
1983,287.3808
1984,287.39395
1985,287.4073
1986,287.4208
1987,287.4345
1988,287.4484
1989,287.46246
1990,287.47668
1991,287.4911
1992,287.50568
1993,287.52045
1994,287.5354
1995,287.55054
1996,287.56583
1997,287.58133
1998,287.597
1999,287.61282
2000,287.62885
2001,287.64505
2002,287.66144
2003,287.67798
2004,287.69473
2005,287.71164
2006,287.72873
2007,287.746
2008,287.76346
2009,287.7811
2010,287.7989
2011,287.8169
