year,change
1880,271.220272
1881,74.639344
1882,122.351952
1883,156.478448
1884,20.771216
1885,17.565216
1886,31.972064
1887,133.453872
1888,279.277408
1889,36.079408
1890,252.152816
1891,152.997648
1892,-4.052384
1893,-58.700944
1894,169.764112
1895,191.575904
1896,143.0792
1897,191.02264
1898,211.808512
1899,379.674672
1900,256.139248
1901,131.779424
1902,111.543152
1903,433.993472
1904,75.760528
1905,346.050144
1906,289.690496
1907,820.757984
1908,-186.02128
1909,213.834704
1910,320.889456
1911,164.286432
1912,352.22032
1913,678.360288
1914,-834.07296
1915,-171.874576
1916,581.634352
1917,321.537984
1918,-166.569104
1919,-1127.92576
1920,1222.042928
1921,-979.903824
1922,427.292016
1923,830.94024
1924,218.700496
1925,34.023904
1926,-350.860976
1927,1024.329824
1928,29.4036
1929,746.10032
1930,-808.15016
1931,-1032.255056
1932,-830.962224
1933,387.031984
1934,733.536464
1935,443.065536
1936,852.697072
1937,797.334032
1938,-526.033152
1939,545.554944
1940,902.69968
1941,226.237344
1942,44.539584
1943,374.702624
1944,-273.283104
1945,-2551.653568
1946,1096.52528
1947,1140.965936
1948,627.031312
1949,-424.316848
1950,1055.173376
1951,1082.561776
1952,203.86496
1953,399.489584
1954,393.319408
1955,1422.745856
1956,1089.281552
1957,587.236608
1958,505.166672
1959,3940.205080760002
1960,1177.3264542200013
1961,318.91630846999743
1962,1094.1082704999963
1963,1486.2423240800094
1964,1555.370542920002
1965,1286.626677679985
1966,1425.301289539997
1967,1074.1391894500046
1968,1728.7811104700013
1969,2107.1114932199935
1970,2659.76086019001
1971,1570.8762624699937
1972,1636.3772587099916
1973,2324.228666280014
1974,168.77685785001373
1975,-153.3558430500107
1976,2595.953376430008
1977,1338.8964219699935
1978,780.6132027099915
1979,2504.1045079900055
1980,-296.24815336997983
1981,-1516.0655802500153
1982,-338.42879299999237
1983,-108.94771202001954
1984,1604.9048443499908
1985,1628.468156169998
1986,1338.7993068700332
1987,1369.7989072899857
1988,1929.2212886299972
1989,1115.7791126399993
1990,83.31341625000763
1991,407.74998714997867
1992,-1138.1618859499893
1993,-166.15349438998413
1994,587.2893689000015
1995,1056.9333310599748
1996,1283.2491910900192
1997,754.67181605999
1998,108.77278398999786
1999,46.00121178001404
2000,1640.6217065199814
2001,1403.1146997499923
2002,839.8635161299896
2003,3213.821967930031
2004,3010.5120658199617
2005,2315.516158090057
2006,2391.868717689972
2007,1380.6448863499909
2008,2212.0544375900267
2009,-1236.465032400055
2010,3708.0769527900543
2011,2862.518077380005
