year,level
1880,290.8
1881,291.4
1882,292.0
1883,292.5
1884,292.9
1885,293.3
1886,293.8
1887,294.0
1888,294.1
1889,294.2
1890,294.4
1891,294.6
1892,294.8
1893,294.7
1894,294.8
1895,294.8
1896,294.9
1897,294.9
1898,294.9
1899,295.3
1900,295.7
1901,296.2
1902,296.6
1903,297.0
1904,297.5
1905,298.0
1906,298.4
1907,298.8
1908,299.3
1909,299.7
1910,300.1
1911,300.6
1912,301.0
1913,301.3
1914,301.4
1915,301.6
1916,302.0
1917,302.4
1918,302.8
1919,303.0
1920,303.4
1921,303.7
1922,304.1
1923,304.5
1924,304.9
1925,305.3
1926,305.8
1927,306.2
1928,306.6
1929,307.2
1930,307.5
1931,308.0
1932,308.3
1933,308.9
1934,309.3
1935,309.7
1936,310.1
1937,310.6
1938,311.0
1939,311.2
1940,311.3
1941,311.0
1942,310.7
1943,310.5
1944,310.2
1945,310.3
1946,310.3
1947,310.4
1948,310.5
1949,310.9
1950,311.3
1951,311.8
1952,312.2
1953,312.6
1954,313.2
1955,313.7
1956,314.3
1957,314.8
1958,315.3
1959,316.1
1960,317.0
1961,317.7
1962,318.4
1963,319.0
1964,319.6
1965,320.2
1966,321.5
1967,322.3
1968,323.0
1969,324.2
1970,325.5
1971,326.4
1972,327.4
1973,329.4
1974,330.2
1975,331.3
1976,331.9
1977,333.7
1978,335.4
1979,337.1
1980,338.9
1981,340.3
1982,341.5
1983,342.5
1984,344.2
1985,345.7
1986,347.1
1987,348.9
1988,351.4
1989,353.1
1990,354.2
1991,355.6
1992,356.4
1993,357.1
1994,358.6
1995,360.6
1996,362.5
1997,363.4
1998,366.2
1999,368.3
2000,369.6
2001,371.1
2002,373.1
2003,375.6
2004,377.4
2005,379.4
2006,381.5
2007,383.3
2008,385.4
2009,386.9
2010,389.2
2011,391.1
