year,change
1880,0.6999999999999886
1881,0.5999999999999659
1882,0.6000000000000227
1883,0.5
1884,0.39999999999997726
1885,0.4000000000000341
1886,0.5
1887,0.19999999999998863
1888,0.10000000000002274
1889,0.0999999999999659
1890,0.19999999999998863
1891,0.20000000000004547
1892,0.19999999999998863
1893,-0.10000000000002274
1894,0.10000000000002274
1895,0.0
1896,0.0999999999999659
1897,0.0
1898,0.0
1899,0.4000000000000341
1900,0.39999999999997726
1901,0.5
1902,0.4000000000000341
1903,0.39999999999997726
1904,0.5
1905,0.5
1906,0.39999999999997726
1907,0.4000000000000341
1908,0.5
1909,0.39999999999997726
1910,0.4000000000000341
1911,0.5
1912,0.39999999999997726
1913,0.30000000000001137
1914,0.0999999999999659
1915,0.20000000000004547
1916,0.39999999999997726
1917,0.39999999999997726
1918,0.4000000000000341
1919,0.19999999999998863
1920,0.39999999999997726
1921,0.30000000000001137
1922,0.4000000000000341
1923,0.39999999999997726
1924,0.39999999999997726
1925,0.4000000000000341
1926,0.5
1927,0.39999999999997726
1928,0.4000000000000341
1929,0.5999999999999659
1930,0.30000000000001137
1931,0.5
1932,0.30000000000001137
1933,0.5999999999999659
1934,0.4000000000000341
1935,0.39999999999997726
1936,0.4000000000000341
1937,0.5
1938,0.39999999999997726
1939,0.19999999999998863
1940,0.10000000000002274
1941,-0.30000000000001137
1942,-0.30000000000001137
1943,-0.19999999999998863
1944,-0.30000000000001137
1945,0.10000000000002274
1946,0.0
1947,0.0999999999999659
1948,0.10000000000002274
1949,0.39999999999997726
1950,0.4000000000000341
1951,0.5
1952,0.39999999999997726
1953,0.4000000000000341
1954,0.5999999999999659
1955,0.5
1956,0.6000000000000227
1957,0.5
1958,0.5
1959,0.8000000000000114
1960,0.8999999999999773
1961,0.6999999999999886
1962,0.6999999999999886
1963,0.6000000000000227
1964,0.6000000000000227
1965,0.5999999999999659
1966,1.3000000000000114
1967,0.8000000000000114
1968,0.6999999999999886
1969,1.1999999999999886
1970,1.3000000000000114
1971,0.8999999999999773
1972,1.0
1973,2.0
1974,0.8000000000000114
1975,1.1000000000000227
1976,0.5999999999999659
1977,1.8000000000000114
1978,1.6999999999999886
1979,1.7000000000000455
1980,1.7999999999999545
1981,1.400000000000034
1982,1.1999999999999886
1983,1.0
1984,1.6999999999999886
1985,1.5
1986,1.400000000000034
1987,1.7999999999999545
1988,2.5
1989,1.7000000000000455
1990,1.099999999999966
1991,1.400000000000034
1992,0.7999999999999545
1993,0.7000000000000455
1994,1.5
1995,2.0
1996,1.8999999999999773
1997,0.8999999999999773
1998,2.8000000000000114
1999,2.1000000000000227
2000,1.3000000000000114
2001,1.5
2002,2.0
2003,2.5
2004,1.7999999999999545
2005,2.0
2006,2.1000000000000227
2007,1.8000000000000114
2008,2.099999999999966
2009,1.5
2010,2.3000000000000114
2011,1.900000000000034
