year,emmission
1880,-12227.475
1881,-11641.963
1882,-11056.455
1883,-10470.943
1884,-9885.436
1885,-9299.92
1886,-8714.408
1887,-8128.9004
1888,-7543.3887
1889,-6957.877
1890,-6372.367
1891,-5786.8555
1892,-5201.3438
1893,-4615.832
1894,-4030.3262
1895,-3444.8145
1896,-2859.3027
1897,-2273.793
1898,-1688.2812
1899,-1102.7695
1900,-517.25977
1901,68.25195
1902,653.7637
1903,1239.2754
1904,1824.7852
1905,2410.293
1906,2995.8047
1907,3581.3145
1908,4166.824
1909,4752.336
1910,5337.8477
1911,5923.3574
1912,6508.869
1913,7094.381
1914,7679.8887
1915,8265.4
1916,8850.912
1917,9436.422
1918,10021.934
1919,10607.444
1920,11192.955
1921,11778.466
1922,12363.976
1923,12949.487
1924,13534.998
1925,14120.51
1926,14706.02
1927,15291.53
1928,15877.041
1929,16462.55
1930,17048.062
1931,17633.574
1932,18219.086
1933,18804.594
1934,19390.105
1935,19975.617
1936,20561.127
1937,21146.639
1938,21732.148
1939,22317.66
1940,22903.17
1941,23488.682
1942,24074.191
1943,24659.703
1944,25245.213
1945,25830.725
1946,26416.234
1947,27001.746
1948,27587.258
1949,28172.768
1950,28758.28
1951,29343.79
1952,29929.3
1953,30514.81
1954,31100.32
1955,31685.832
1956,32271.344
1957,32856.855
1958,33442.367
1959,34027.875
1960,34613.387
1961,35198.9
1962,35784.406
1963,36369.918
1964,36955.43
1965,37540.94
1966,38126.45
1967,38711.96
1968,39297.473
1969,39882.984
1970,40468.492
1971,41054.004
1972,41639.516
1973,42225.027
1974,42810.54
1975,43396.047
1976,43981.56
1977,44567.07
1978,45152.58
1979,45738.09
1980,46323.6
1981,46909.113
1982,47494.625
1983,48080.133
1984,48665.65
1985,49251.156
1986,49836.664
1987,50422.18
1988,51007.688
1989,51593.2
1990,52178.71
1991,52764.223
1992,53349.734
1993,53935.242
1994,54520.758
1995,55106.266
1996,55691.777
1997,56277.29
1998,56862.797
1999,57448.305
2000,58033.82
2001,58619.33
2002,59204.836
2003,59790.35
2004,60375.867
2005,60961.375
2006,61546.883
2007,62132.4
2008,62717.906
2009,63303.414
2010,63888.93
2011,64474.438
