year,change
1880,-175.3128
1881,-163.0174
1882,-150.72205
1883,-138.42657
1884,-126.131226
1885,-113.835815
1886,-101.540405
1887,-89.245056
1888,-76.949585
1889,-64.654175
1890,-52.358826
1891,-40.063416
1892,-27.767944
1893,-15.472534
1894,-3.177185
1895,9.118225
1896,21.413696
1897,33.709045
1898,46.004395
1899,58.299866
1900,70.595215
1901,82.890686
1902,95.1861
1903,107.48151
1904,119.776886
1905,132.0723
1906,144.3677
1907,156.66309
1908,168.9585
1909,181.2539
1910,193.54932
1911,205.84473
1912,218.14014
1913,230.43555
1914,242.73093
1915,255.02637
1916,267.32175
1917,279.61716
1918,291.91257
1919,304.20795
1920,316.50336
1921,328.79877
1922,341.09415
1923,353.3896
1924,365.68497
1925,377.9804
1926,390.27582
1927,402.57123
1928,414.8666
1929,427.162
1930,439.4574
1931,451.7528
1932,464.04822
1933,476.34363
1934,488.63904
1935,500.93445
1936,513.22986
1937,525.52527
1938,537.8207
1939,550.1161
1940,562.4115
1941,574.70685
1942,587.00226
1943,599.29767
1944,611.5931
1945,623.8885
1946,636.1839
1947,648.4793
1948,660.7747
1949,673.0701
1950,685.36554
1951,697.6609
1952,709.9563
1953,722.2517
1954,734.5471
1955,746.8425
1956,759.13794
1957,771.43335
1958,783.72876
1959,796.0242
1960,808.3196
1961,820.615
1962,832.9104
1963,845.2058
1964,857.50116
1965,869.7966
1966,882.092
1967,894.38745
1968,906.6828
1969,918.9783
1970,931.2736
1971,943.56903
1972,955.86444
1973,968.1598
1974,980.4552
1975,992.7506
1976,1005.046
1977,1017.34143
1978,1029.6368
1979,1041.9323
1980,1054.2277
1981,1066.5231
1982,1078.8185
1983,1091.1139
1984,1103.4093
1985,1115.7047
1986,1128.0001
1987,1140.2955
1988,1152.5908
1989,1164.8862
1990,1177.1816
1991,1189.4772
1992,1201.7725
1993,1214.0679
1994,1226.3633
1995,1238.6587
1996,1250.9541
1997,1263.2495
1998,1275.5449
1999,1287.8403
2000,1300.1357
2001,1312.4312
2002,1324.7266
2003,1337.022
2004,1349.3174
2005,1361.6128
2006,1373.9082
2007,1386.2036
2008,1398.499
2009,1410.7944
2010,1423.0898
2011,1435.3853
