year,temperature
1880,286.72043
1881,286.72693
1882,286.73343
1883,286.73996
1884,286.74646
1885,286.75296
1886,286.75946
1887,286.766
1888,286.7725
1889,286.779
1890,286.7855
1891,286.792
1892,286.79852
1893,286.80502
1894,286.81152
1895,286.81802
1896,286.82455
1897,286.83105
1898,286.83755
1899,286.84406
1900,286.8506
1901,286.8571
1902,286.8636
1903,286.8701
1904,286.87662
1905,286.88312
1906,286.88962
1907,286.89612
1908,286.90262
1909,286.90915
1910,286.91565
1911,286.92215
1912,286.92865
1913,286.93518
1914,286.94168
1915,286.94818
1916,286.95468
1917,286.9612
1918,286.9677
1919,286.9742
1920,286.9807
1921,286.98724
1922,286.99374
1923,287.00024
1924,287.00674
1925,287.01324
1926,287.01978
1927,287.02628
1928,287.03278
1929,287.03928
1930,287.0458
1931,287.0523
1932,287.0588
1933,287.0653
1934,287.07184
1935,287.07834
1936,287.08484
1937,287.09134
1938,287.09787
1939,287.10437
1940,287.11087
1941,287.11737
1942,287.12387
1943,287.1304
1944,287.1369
1945,287.1434
1946,287.1499
1947,287.15643
1948,287.16293
1949,287.16943
1950,287.17593
1951,287.18246
1952,287.18896
1953,287.19547
1954,287.20197
1955,287.2085
1956,287.215
1957,287.2215
1958,287.228
1959,287.2345
1960,287.24103
1961,287.24753
1962,287.25403
1963,287.26053
1964,287.26706
1965,287.27356
1966,287.28006
1967,287.28656
1968,287.2931
1969,287.2996
1970,287.3061
1971,287.3126
1972,287.3191
1973,287.32562
1974,287.33212
1975,287.33862
1976,287.34512
1977,287.35165
1978,287.35815
1979,287.36465
1980,287.37115
1981,287.3777
1982,287.3842
1983,287.3907
1984,287.3972
1985,287.40372
1986,287.41022
1987,287.41672
1988,287.42322
1989,287.42972
1990,287.43625
1991,287.44275
1992,287.44925
1993,287.45575
1994,287.46228
1995,287.46878
1996,287.47528
1997,287.48178
1998,287.4883
1999,287.4948
2000,287.5013
2001,287.5078
2002,287.51434
2003,287.52084
2004,287.52734
2005,287.53384
2006,287.54034
2007,287.54688
2008,287.55338
2009,287.55988
2010,287.56638
2011,287.5729
